# IVD_Sequences
#
# History:
#
# 2014-05-16 Combined registration of the Moji_Joho collection and of
#            sequences in that collection.
#
# 2012-07-02 File restored due to corruption on the server.
#
# 2012-03-02 Registration of additional sequences in the Adobe-Japan1
#            collection. Registration of additional sequences in the
#            Hanyo-Denshi collection.
#
# 2010-11-14 Combined registration of the Hanyo-Denshi collection and of
#            sequences in that collection.
#
# 2007-12-14 Combined registration of the Adobe-Japan1 collection and of
#            sequences in that collection.
#
# This file is part of the Unicode Ideographic Variation Database (IVD).
# For more details on the IVD, see UTS #37:
# http://www.unicode.org/reports/tr37/
#
# Copyright 2006-2014 Unicode, Inc.
# For terms of use, see: http://www.unicode.org/terms_of_use.html
#
3402 E0100; Adobe-Japan1; CID+13698
34DE E0102; Moji_Joho; MJ000184
34DE E0103; Hanyo-Denshi; KS022460
34DE E0103; Moji_Joho; MJ000185
34EE E0100; Hanyo-Denshi; IA1036
34EE E0101; Hanyo-Denshi; TK01010020
34F2 E0100; Hanyo-Denshi; IA0141
34F2 E0101; Hanyo-Denshi; TK01010050
34F5 E0100; Hanyo-Denshi; IA1042
34F5 E0100; Moji_Joho; MJ000206
34F5 E0101; Hanyo-Denshi; KS024690
34F5 E0101; Moji_Joho; MJ000207
34F6 E0100; Hanyo-Denshi; IA1043
34F6 E0100; Moji_Joho; MJ000208
34F6 E0101; Hanyo-Denshi; KS024700
34F6 E0101; Moji_Joho; MJ000209
3515 E0100; Hanyo-Denshi; IA0144
3515 E0101; Hanyo-Denshi; TK01010390
351C E0100; Hanyo-Denshi; IA0147
351C E0100; Moji_Joho; MJ000242
351C E0101; Hanyo-Denshi; KS027290
351C E0101; Moji_Joho; MJ000241
351F E0100; Adobe-Japan1; CID+13865
351F E0101; Hanyo-Denshi; IA0148
351F E0101; Moji_Joho; MJ000245
351F E0102; Hanyo-Denshi; JTAE38
351F E0102; Moji_Joho; MJ059383
3520 E0100; Hanyo-Denshi; IA1069
3520 E0101; Hanyo-Denshi; TK01010820
3520 E0102; Hanyo-Denshi; TK01010920
3526 E0100; Hanyo-Denshi; IA0149
3526 E0101; Hanyo-Denshi; TK01011250
3526 E0102; Hanyo-Denshi; TK01011300
3530 E0100; Hanyo-Denshi; IA0152
3530 E0100; Moji_Joho; MJ000265
3530 E0101; Hanyo-Denshi; KS030440
3530 E0101; Moji_Joho; MJ000264
3531 E0100; Hanyo-Denshi; IA0153
3531 E0100; Moji_Joho; MJ000266
3531 E0101; Hanyo-Denshi; JTAE5B
3531 E0101; Moji_Joho; MJ000267
3534 E0100; Hanyo-Denshi; IA0155
3534 E0100; Moji_Joho; MJ000269
3534 E0101; Hanyo-Denshi; KS030960
3534 E0101; Moji_Joho; MJ000270
353A E0100; Hanyo-Denshi; IA0157
353A E0100; Moji_Joho; MJ000276
353A E0101; Hanyo-Denshi; KS031460
353A E0101; Moji_Joho; MJ000277
353A E0102; Moji_Joho; MJ000278
353E E0100; Adobe-Japan1; CID+14110
353E E0101; Hanyo-Denshi; IA0159
353E E0102; Hanyo-Denshi; TK01012370
3553 E0100; Hanyo-Denshi; IA0161
3553 E0100; Moji_Joho; MJ000303
3553 E0101; Hanyo-Denshi; KS035250
3553 E0101; Moji_Joho; MJ000302
355B E0100; Moji_Joho; MJ000309
355B E0101; Moji_Joho; MJ000310
355C E0100; Moji_Joho; MJ000311
355C E0101; Moji_Joho; MJ000312
355D E0100; Adobe-Japan1; CID+17341
355E E0100; Adobe-Japan1; CID+17342
3561 E0100; Moji_Joho; MJ000317
3561 E0101; Moji_Joho; MJ000318
3563 E0100; Adobe-Japan1; CID+17344
356E E0100; Adobe-Japan1; CID+17348
356F E0100; Hanyo-Denshi; IA0170
356F E0100; Moji_Joho; MJ000332
356F E0101; Hanyo-Denshi; JTAEB5
356F E0101; Moji_Joho; MJ000333
35A6 E0100; Adobe-Japan1; CID+17369
35A8 E0100; Adobe-Japan1; CID+17371
35B6 E0100; Hanyo-Denshi; IA0178
35B6 E0100; Moji_Joho; MJ000381
35B6 E0101; Hanyo-Denshi; KS044620
35B6 E0101; Moji_Joho; MJ000380
35C5 E0100; Adobe-Japan1; CID+17377
35D4 E0100; Moji_Joho; MJ000405
35D4 E0101; Moji_Joho; MJ000406
35D6 E0100; Hanyo-Denshi; IA0183
35D6 E0100; Moji_Joho; MJ000408
35D6 E0101; Hanyo-Denshi; JTAEF9
35D6 E0101; Moji_Joho; MJ000409
35DA E0100; Adobe-Japan1; CID+17386
35DE E0100; Adobe-Japan1; CID+20067
35F4 E0100; Adobe-Japan1; CID+17395
35F4 E0101; Hanyo-Denshi; JD0434
35F4 E0101; Moji_Joho; MJ000433
35F4 E0102; Hanyo-Denshi; IA1205
35F4 E0102; Moji_Joho; MJ000432
35FB E0100; Hanyo-Denshi; IB0306
35FB E0100; Moji_Joho; MJ000437
35FB E0101; Hanyo-Denshi; IB0635
35FB E0101; Moji_Joho; MJ000436
3605 E0100; Adobe-Japan1; CID+17402
3614 E0100; Adobe-Japan1; CID+19131
361D E0100; Moji_Joho; MJ000462
361D E0101; Moji_Joho; MJ000463
3628 E0100; Hanyo-Denshi; IA1309
3628 E0101; Hanyo-Denshi; TK01016350
3634 E0100; Moji_Joho; MJ000485
3634 E0101; Moji_Joho; MJ000486
3642 E0100; Hanyo-Denshi; IA1325
3642 E0101; Hanyo-Denshi; TK01016890
3644 E0100; Hanyo-Denshi; IA0192
3644 E0100; Moji_Joho; MJ000499
3644 E0101; Hanyo-Denshi; JTAF5E
3644 E0101; Moji_Joho; MJ000500
364A E0100; Adobe-Japan1; CID+17441
364F E0100; Hanyo-Denshi; KS060680
364F E0101; Hanyo-Denshi; TK01017230
3651 E0100; Hanyo-Denshi; IA1335
3651 E0101; Hanyo-Denshi; TK01017390
365B E0100; Hanyo-Denshi; IA1342
365B E0100; Moji_Joho; MJ000519
365B E0101; Hanyo-Denshi; JTAF74
365B E0101; Moji_Joho; MJ000520
365B E0102; Hanyo-Denshi; TK01017280
3669 E0100; Hanyo-Denshi; IA1354
3669 E0101; Hanyo-Denshi; TK01017970
3685 E0100; Hanyo-Denshi; IA1375
3685 E0101; Hanyo-Denshi; TK01018450
3687 E0100; Hanyo-Denshi; KS065480
3687 E0100; Moji_Joho; MJ057255
3687 E0101; Hanyo-Denshi; KS065500
3687 E0101; Moji_Joho; MJ000557
3689 E0100; Hanyo-Denshi; IA0203
3689 E0100; Moji_Joho; MJ000560
3689 E0101; Hanyo-Denshi; KS066150
3689 E0101; Moji_Joho; MJ000559
3689 E0102; Hanyo-Denshi; TK01018830
3691 E0100; Adobe-Japan1; CID+17473
3691 E0101; Hanyo-Denshi; IA0204
3691 E0101; Moji_Joho; MJ000568
3691 E0102; Hanyo-Denshi; JTAFBF
3691 E0102; Moji_Joho; MJ000567
3696 E0100; Adobe-Japan1; CID+17477
3699 E0100; Adobe-Japan1; CID+17475
36AB E0100; Hanyo-Denshi; IA1406
36AB E0101; Hanyo-Denshi; TK01020030
36C3 E0100; Hanyo-Denshi; IA1426
36C3 E0101; Hanyo-Denshi; TK01020180
36C3 E0102; Hanyo-Denshi; TK01020240
36CF E0100; Adobe-Japan1; CID+17494
36EE E0100; Moji_Joho; MJ000648
36EE E0101; Moji_Joho; MJ000649
36FA E0100; Hanyo-Denshi; IA1468
36FA E0100; Moji_Joho; MJ000660
36FA E0101; Hanyo-Denshi; KS074820
36FA E0101; Moji_Joho; MJ000661
36FC E0100; Hanyo-Denshi; IA1470
36FC E0100; Moji_Joho; MJ000663
36FC E0101; Hanyo-Denshi; KS075180
36FC E0101; Moji_Joho; MJ000664
3719 E0100; Hanyo-Denshi; IA1489
3719 E0101; Hanyo-Denshi; TK01020700
372F E0100; Hanyo-Denshi; IA1514
372F E0101; Hanyo-Denshi; TK01020900
372F E0102; Hanyo-Denshi; TK01020930
3732 E0100; Hanyo-Denshi; IA1517
3732 E0100; Moji_Joho; MJ000711
3732 E0101; Hanyo-Denshi; KS078360
3732 E0101; Moji_Joho; MJ000712
3761 E0100; Adobe-Japan1; CID+17528
3762 E0100; Adobe-Japan1; CID+17529
3762 E0101; Hanyo-Denshi; JD0805
3762 E0102; Hanyo-Denshi; TK01022260
3763 E0100; Hanyo-Denshi; KS082260
3763 E0101; Hanyo-Denshi; TK01022240
3763 E0102; Hanyo-Denshi; TK01022300
3769 E0100; Hanyo-Denshi; KS082760
3769 E0101; Hanyo-Denshi; TK01022450
376B E0100; Adobe-Japan1; CID+17533
376B E0101; Hanyo-Denshi; JD0809
376B E0102; Hanyo-Denshi; TK01022630
376C E0100; Adobe-Japan1; CID+17532
3775 E0100; Adobe-Japan1; CID+17536
3778 E0100; Hanyo-Denshi; IA0221
3778 E0100; Moji_Joho; MJ034205
3778 E0101; Hanyo-Denshi; KS085370
3778 E0101; Moji_Joho; MJ000778
378D E0100; Adobe-Japan1; CID+13850
37A4 E0100; Hanyo-Denshi; IA1639
37A4 E0101; Hanyo-Denshi; TK01024350
37B7 E0100; Hanyo-Denshi; IA0227
37B7 E0100; Moji_Joho; MJ000836
37B7 E0101; Hanyo-Denshi; KS088980
37B7 E0101; Moji_Joho; MJ000835
37C1 E0100; Adobe-Japan1; CID+17550
37C1 E0101; Hanyo-Denshi; IA0232
37C1 E0102; Hanyo-Denshi; TK01024680
37C1 E0103; Hanyo-Denshi; TK01024690
37D0 E0100; Hanyo-Denshi; KS092070
37D0 E0100; Moji_Joho; MJ000859
37D0 E0101; Hanyo-Denshi; KS092330
37D0 E0101; Moji_Joho; MJ000860
37DF E0100; Hanyo-Denshi; IA0237
37DF E0100; Moji_Joho; MJ000873
37DF E0101; Hanyo-Denshi; JTB079
37DF E0101; Moji_Joho; MJ000874
37E2 E0100; Adobe-Japan1; CID+14123
37E7 E0100; Hanyo-Denshi; IA0240
37E7 E0100; Moji_Joho; MJ000879
37E7 E0101; Hanyo-Denshi; KS094210
37E7 E0101; Moji_Joho; MJ000880
37E8 E0100; Adobe-Japan1; CID+17570
37F1 E0100; Hanyo-Denshi; KS094420
37F1 E0101; Hanyo-Denshi; TK01025570
37F4 E0100; Adobe-Japan1; CID+17573
37FD E0100; Adobe-Japan1; CID+17576
3800 E0100; Adobe-Japan1; CID+17578
3809 E0100; Hanyo-Denshi; IA0245
3809 E0100; Moji_Joho; MJ000910
3809 E0101; Hanyo-Denshi; KS096130
3809 E0101; Moji_Joho; MJ000911
3817 E0100; Hanyo-Denshi; IA0251
3817 E0100; Moji_Joho; MJ000926
3817 E0101; Hanyo-Denshi; JTB085
3817 E0101; Moji_Joho; MJ000927
382F E0100; Adobe-Japan1; CID+17588
382F E0101; Hanyo-Denshi; IA0254
382F E0101; Moji_Joho; MJ000946
382F E0102; Hanyo-Denshi; KS099080
382F E0102; Moji_Joho; MJ000944
382F E0103; Hanyo-Denshi; JD0879
382F E0103; Moji_Joho; MJ000945
3836 E0100; Adobe-Japan1; CID+17589
3836 E0101; Hanyo-Denshi; JD0881
3836 E0101; Moji_Joho; MJ000951
3836 E0102; Hanyo-Denshi; JTB09F
3836 E0102; Moji_Joho; MJ059541
3836 E0103; Hanyo-Denshi; TK01026830
3840 E0100; Adobe-Japan1; CID+17590
384C E0100; Hanyo-Denshi; IA0256
384C E0100; Moji_Joho; MJ000973
384C E0101; Hanyo-Denshi; IB0669
384C E0101; Moji_Joho; MJ000974
3855 E0100; Hanyo-Denshi; KS101790
3855 E0101; Hanyo-Denshi; TK01027100
385B E0100; Hanyo-Denshi; KS102110
385B E0100; Moji_Joho; MJ000988
385B E0101; Hanyo-Denshi; KS102300
385B E0101; Moji_Joho; MJ000989
385C E0100; Adobe-Japan1; CID+17594
3861 E0100; Adobe-Japan1; CID+17596
3862 E0100; Hanyo-Denshi; IA0258
3862 E0100; Moji_Joho; MJ000996
3862 E0101; Hanyo-Denshi; JTB0BC
3862 E0101; Moji_Joho; MJ000997
386D E0100; Moji_Joho; MJ001007
386D E0101; Moji_Joho; MJ001008
3895 E0100; Hanyo-Denshi; IA0268
3895 E0101; Hanyo-Denshi; TK01028200
38A1 E0100; Adobe-Japan1; CID+20171
38A2 E0100; Moji_Joho; MJ001058
38A2 E0101; Moji_Joho; MJ001059
38A3 E0100; Moji_Joho; MJ001060
38A3 E0101; Moji_Joho; MJ001061
38AD E0100; Adobe-Japan1; CID+19132
38B4 E0100; Hanyo-Denshi; IA0275
38B4 E0100; Moji_Joho; MJ001075
38B4 E0101; Hanyo-Denshi; JTB10A
38B4 E0101; Moji_Joho; MJ001076
38C7 E0100; Hanyo-Denshi; IA1841
38C7 E0100; Moji_Joho; MJ001092
38C7 E0101; Hanyo-Denshi; KS112160
38C7 E0101; Moji_Joho; MJ001093
38D2 E0100; Hanyo-Denshi; IA1850
38D2 E0101; Hanyo-Denshi; TK01030370
38DF E0100; Hanyo-Denshi; IA1857
38DF E0101; Hanyo-Denshi; TK01030630
38F7 E0100; Hanyo-Denshi; IA1867
38F7 E0101; Hanyo-Denshi; TK01031320
38FA E0100; Adobe-Japan1; CID+13852
38FA E0101; Moji_Joho; MJ001132
38FA E0102; Moji_Joho; MJ001133
38FC E0100; Moji_Joho; MJ001135
38FC E0101; Moji_Joho; MJ001136
3900 E0100; Hanyo-Denshi; KS117270
3900 E0100; Moji_Joho; MJ057490
3900 E0101; Hanyo-Denshi; KS117330
3900 E0101; Moji_Joho; MJ057493
3905 E0100; Moji_Joho; MJ001144
3905 E0101; Moji_Joho; MJ001145
3906 E0100; Hanyo-Denshi; IA1876
3906 E0101; Hanyo-Denshi; TK01031420
3917 E0100; Adobe-Japan1; CID+17625
3917 E0101; Hanyo-Denshi; IA0290
3917 E0101; Moji_Joho; MJ001164
3917 E0102; Hanyo-Denshi; JTC0E4
3917 E0102; Moji_Joho; MJ001165
391A E0100; Adobe-Japan1; CID+17628
393A E0100; Hanyo-Denshi; IA0304
393A E0100; Moji_Joho; MJ001199
393A E0101; Hanyo-Denshi; KS119130
393A E0101; Moji_Joho; MJ001198
396F E0100; Adobe-Japan1; CID+17643
396F E0101; Hanyo-Denshi; JD1264
396F E0101; Moji_Joho; MJ001247
396F E0102; Hanyo-Denshi; KS125570
396F E0102; Moji_Joho; MJ001248
3971 E0100; Moji_Joho; MJ001250
3971 E0101; Moji_Joho; MJ001251
3983 E0100; Hanyo-Denshi; IA1974
3983 E0101; Hanyo-Denshi; TK01033220
399E E0100; Hanyo-Denshi; IA0320
399E E0101; Hanyo-Denshi; TK01034210
39A2 E0100; Hanyo-Denshi; IA2004
39A2 E0100; Moji_Joho; MJ001297
39A2 E0101; Hanyo-Denshi; JT39A2
39A2 E0101; Moji_Joho; MJ001298
39A2 E0102; Hanyo-Denshi; TK01033780
39A2 E0103; Hanyo-Denshi; TK01034160
39A4 E0100; Adobe-Japan1; CID+20122
39A5 E0100; Hanyo-Denshi; IA0323
39A5 E0101; Hanyo-Denshi; TK01034360
39AE E0100; Hanyo-Denshi; IA0324
39AE E0100; Moji_Joho; MJ001313
39AE E0101; Hanyo-Denshi; KS130240
39AE E0101; Moji_Joho; MJ057537
39AE E0102; Moji_Joho; MJ001314
39B6 E0100; Hanyo-Denshi; IA0327
39B6 E0100; Moji_Joho; MJ001323
39B6 E0101; Hanyo-Denshi; JTB1CE
39B6 E0101; Moji_Joho; MJ001322
39B8 E0100; Adobe-Japan1; CID+20123
39B8 E0101; Moji_Joho; MJ001325
39B8 E0102; Moji_Joho; MJ057539
39DE E0100; Hanyo-Denshi; IA0330
39DE E0100; Moji_Joho; MJ001356
39DE E0101; Hanyo-Denshi; IB0688S
39DE E0101; Moji_Joho; MJ001357
39DE E0102; Hanyo-Denshi; TK01035250
3A17 E0100; Hanyo-Denshi; IA0334
3A17 E0100; Moji_Joho; MJ001407
3A17 E0101; Hanyo-Denshi; JTB208
3A17 E0101; Moji_Joho; MJ001408
3A28 E0100; Hanyo-Denshi; IA2192
3A28 E0101; Hanyo-Denshi; TK01035930
3A2F E0100; Moji_Joho; MJ001429
3A2F E0101; Moji_Joho; MJ001430
3A3F E0100; Moji_Joho; MJ001446
3A3F E0101; Moji_Joho; MJ001447
3A5C E0100; Adobe-Japan1; CID+20127
3A6E E0100; Adobe-Japan1; CID+17713
3A6E E0101; Hanyo-Denshi; IA0341
3A6E E0101; Moji_Joho; MJ001487
3A6E E0102; Hanyo-Denshi; IP6511
3A6E E0102; Moji_Joho; MJ001486
3A73 E0100; Adobe-Japan1; CID+17716
3A85 E0100; Adobe-Japan1; CID+20142
3A9C E0100; Hanyo-Denshi; IA2288
3A9C E0100; Moji_Joho; MJ001528
3A9C E0101; Hanyo-Denshi; KS149250
3A9C E0101; Moji_Joho; MJ057606
3AA4 E0100; Hanyo-Denshi; IA2301
3AA4 E0100; Moji_Joho; MJ001537
3AA4 E0101; Hanyo-Denshi; KS149630
3AA4 E0101; Moji_Joho; MJ001536
3AB4 E0100; Hanyo-Denshi; IA2313
3AB4 E0101; Hanyo-Denshi; TK01037540
3AC4 E0100; Adobe-Japan1; CID+20135
3ACB E0100; Adobe-Japan1; CID+20136
3AD6 E0100; Adobe-Japan1; CID+17731
3AD7 E0100; Adobe-Japan1; CID+17758
3AE0 E0100; Hanyo-Denshi; JTB290
3AE0 E0100; Moji_Joho; MJ001588
3AE0 E0101; Hanyo-Denshi; IA0359
3AE0 E0102; Moji_Joho; MJ001589
3AE6 E0100; Hanyo-Denshi; IA0361
3AE6 E0100; Moji_Joho; MJ001595
3AE6 E0101; Hanyo-Denshi; KS156500
3AE6 E0101; Moji_Joho; MJ001594
3AEA E0100; Adobe-Japan1; CID+17741
3AEF E0100; Hanyo-Denshi; IA0365
3AEF E0101; Hanyo-Denshi; TK01039510
3AF3 E0100; Adobe-Japan1; CID+15424
3AF4 E0100; Moji_Joho; MJ001608
3AF4 E0101; Moji_Joho; MJ001609
3AF7 E0100; Hanyo-Denshi; IA0369
3AF7 E0100; Moji_Joho; MJ001613
3AF7 E0101; Hanyo-Denshi; KS157460
3AF7 E0101; Moji_Joho; MJ001612
3B05 E0100; Hanyo-Denshi; IA2357
3B05 E0101; Hanyo-Denshi; TK01040200
3B08 E0100; Hanyo-Denshi; IB2026
3B08 E0100; Moji_Joho; MJ001627
3B08 E0101; Hanyo-Denshi; KS158740
3B08 E0101; Moji_Joho; MJ001628
3B0A E0100; Hanyo-Denshi; IA0372
3B0A E0100; Moji_Joho; MJ001630
3B0A E0101; Hanyo-Denshi; JT3B0A
3B0A E0101; Moji_Joho; MJ001631
3B0E E0100; Adobe-Japan1; CID+17752
3B15 E0100; Hanyo-Denshi; TK01040230
3B15 E0101; Hanyo-Denshi; TK01040590
3B19 E0100; Hanyo-Denshi; IA2372
3B19 E0101; Hanyo-Denshi; TK01040670
3B1A E0100; Adobe-Japan1; CID+17756
3B1C E0100; Adobe-Japan1; CID+17757
3B1C E0101; Hanyo-Denshi; IA0374
3B1C E0102; Hanyo-Denshi; TK01040820
3B1D E0100; Hanyo-Denshi; IA0375
3B1D E0100; Moji_Joho; MJ001649
3B1D E0101; Hanyo-Denshi; IB2038
3B1D E0101; Moji_Joho; MJ001650
3B22 E0100; Adobe-Japan1; CID+15433
3B26 E0100; Hanyo-Denshi; IA0378
3B26 E0100; Moji_Joho; MJ001659
3B26 E0101; Hanyo-Denshi; KS160390
3B26 E0101; Moji_Joho; MJ001658
3B27 E0100; Hanyo-Denshi; IA0602
3B27 E0100; Moji_Joho; MJ001660
3B27 E0101; Hanyo-Denshi; JT3B27
3B27 E0101; Moji_Joho; MJ001661
3B27 E0102; Hanyo-Denshi; JTB85C
3B27 E0102; Moji_Joho; MJ001662
3B2D E0100; Hanyo-Denshi; IA2383
3B2D E0101; Hanyo-Denshi; TK01040970
3B36 E0100; Hanyo-Denshi; IA0381
3B36 E0101; Hanyo-Denshi; TK01042000
3B3C E0100; Hanyo-Denshi; IA0382
3B3C E0100; Moji_Joho; MJ001683
3B3C E0101; Hanyo-Denshi; KS162030
3B3C E0101; Moji_Joho; MJ001682
3B52 E0100; Hanyo-Denshi; IA2410
3B52 E0100; Moji_Joho; MJ001696
3B52 E0101; Hanyo-Denshi; KS165470
3B52 E0101; Moji_Joho; MJ057714
3B5B E0100; Hanyo-Denshi; IA2415
3B5B E0101; Hanyo-Denshi; TK01043800
3B69 E0100; Hanyo-Denshi; IA2423
3B69 E0101; Hanyo-Denshi; TK01044190
3B69 E0102; Hanyo-Denshi; TK01044390
3B6D E0100; Adobe-Japan1; CID+17804
3B74 E0100; Hanyo-Denshi; IA0391
3B74 E0100; Moji_Joho; MJ001726
3B74 E0101; Hanyo-Denshi; JTB32B
3B74 E0101; Moji_Joho; MJ001727
3B77 E0100; Adobe-Japan1; CID+17797
3B78 E0100; Hanyo-Denshi; IA0392
3B78 E0100; Moji_Joho; MJ001730
3B78 E0101; Hanyo-Denshi; KS168370
3B78 E0101; Moji_Joho; MJ001729
3B87 E0100; Adobe-Japan1; CID+17826
3B88 E0100; Adobe-Japan1; CID+13965
3B8D E0100; Adobe-Japan1; CID+17828
3B8D E0101; Hanyo-Denshi; JD1512
3B8D E0102; Hanyo-Denshi; TK01045160
3B91 E0100; Hanyo-Denshi; IA2450
3B91 E0101; Hanyo-Denshi; TK01044010
3BA4 E0100; Adobe-Japan1; CID+17834
3BA4 E0101; Hanyo-Denshi; JD1520
3BA4 E0102; Hanyo-Denshi; TK01045380
3BAB E0100; Hanyo-Denshi; IA2470
3BAB E0101; Hanyo-Denshi; TK01045670
3BAE E0100; Hanyo-Denshi; IA2473
3BAE E0100; Moji_Joho; MJ001784
3BAE E0101; Hanyo-Denshi; KS173700
3BAE E0101; Moji_Joho; MJ057785
3BB5 E0100; Hanyo-Denshi; IA0404
3BB5 E0100; Moji_Joho; MJ001792
3BB5 E0101; Hanyo-Denshi; KS173070
3BB5 E0101; Moji_Joho; MJ001791
3BB6 E0100; Adobe-Japan1; CID+16910
3BB8 E0100; Hanyo-Denshi; IB0715
3BB8 E0100; Moji_Joho; MJ001795
3BB8 E0101; Hanyo-Denshi; JTB35F
3BB8 E0101; Moji_Joho; MJ001796
3BC3 E0100; Adobe-Japan1; CID+16911
3BCD E0100; Adobe-Japan1; CID+17848
3BCD E0101; Hanyo-Denshi; JD1540
3BCD E0101; Moji_Joho; MJ001814
3BCD E0102; Hanyo-Denshi; JTB368
3BCD E0102; Moji_Joho; MJ057784
3BEC E0100; Moji_Joho; MJ001840
3BEC E0101; Moji_Joho; MJ001841
3BF0 E0100; Adobe-Japan1; CID+17865
3BF3 E0100; Adobe-Japan1; CID+20151
3BF3 E0101; Hanyo-Denshi; IA0412
